"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000003.15",3116.16719759868,-0.628206454136121,0.0929085728114602,-6.76155531321037,1.36518176586912e-11,3.40023965722085e-11
"ENSG00000000005.6",154.597157923926,-3.58159132166045,0.252145959170516,-14.2044367216624,8.59912968258725e-46,7.95602889400324e-45
"ENSG00000000419.13",2323.49958357926,0.441226433621519,0.0556489210456037,7.92875091432479,2.21361031910535e-15,6.61676629146756e-15
"ENSG00000000457.14",1585.42887173525,0.380077068388833,0.0565929250351561,6.71598204462351,1.86803796995068e-11,4.61910541474061e-11
"ENSG00000000460.17",704.477376195253,1.32705504522705,0.0747603885855963,17.7507777893323,1.69983444284474e-70,3.08977355616528e-69
"ENSG00000000938.13",563.074859922638,-0.524009825367529,0.0979937124374779,-5.34738211598891,8.92354937577649e-08,1.79815783354571e-07
"ENSG00000000971.16",3387.47150877222,-1.48983457352278,0.0999990144653668,-14.8984925650319,3.37099293538088e-50,3.59413020669063e-49
"ENSG00000001036.14",2636.95711037009,0.421311472666117,0.0671114956474941,6.27778398620519,3.43432599543382e-10,7.92493050624812e-10
"ENSG00000001084.13",2281.78895539179,-0.376072970190462,0.0682569395363895,-5.50966645655081,3.59514279463001e-08,7.41906740346375e-08
"ENSG00000001167.14",3134.44983660875,0.621918715451485,0.0622912611499485,9.98404437428858,1.79017696389456e-23,7.48989170363256e-23
"ENSG00000001460.18",678.713049684186,-0.0509227105484923,0.0505865957994345,-1.00664434409444,0.314105716631657,0.365716693510062
"ENSG00000001461.17",2910.19770627595,-0.275620979307919,0.0743947797064851,-3.70484300639569,0.000211521699949994,0.00034183167437283
"ENSG00000001497.18",3412.4202996803,0.464275262722266,0.047426716223859,9.78931917889567,1.25135616445467e-22,5.0244703912966e-22
"ENSG00000001561.7",1827.15007766557,-0.227451195857085,0.101017177876348,-2.25160908905513,0.0243469861817152,0.0329453014652696
"ENSG00000001617.12",6171.62272233478,1.14240201680131,0.0824573300166867,13.8544628666745,1.1954778177044e-43,1.02856403513553e-42
"ENSG00000001626.16",64.7094582152327,-0.8518061319341,0.21885533563164,-3.89209671071394,9.93816117709871e-05,0.000164389749618133
"ENSG00000001629.10",4696.37954028072,0.205343827736202,0.055067688780104,3.72893492145965,0.000192290800167677,0.00031155867419237
"ENSG00000001630.17",118.610119779623,0.68707524915093,0.108963751886412,6.30553956940803,2.87191617047935e-10,6.65624450671944e-10
"ENSG00000001631.16",386.464805138368,0.0304268095103996,0.0476676951783064,0.638310902102246,0.523271316599324,0.584767453354628
"ENSG00000002016.18",562.627149521702,-0.196170014630763,0.058392249989998,-3.35952142046872,0.000780775981984099,0.00120980305740881
"ENSG00000002330.14",528.811781960394,0.590321266702377,0.0888721802119656,6.64236283271576,3.08693902995068e-11,7.54233088143895e-11
"ENSG00000002549.12",7524.15745800818,0.275215253696083,0.0623849642088887,4.41156386296155,1.02626674541888e-05,1.82217184211618e-05
"ENSG00000002586.20",10833.9327921557,-0.0146144934336447,0.0830202067205797,-0.17603537754167,0.86026614915358,0.905831486719319
"ENSG00000002587.10",304.7349262209,-0.452256624013819,0.0893178977714201,-5.06344904322784,4.1173847379029e-07,7.99240179510196e-07
"ENSG00000002726.21",139.02334890221,2.78989383724833,0.209259186727745,13.3322406575062,1.50314228595183e-40,1.17283547987017e-39
"ENSG00000002745.13",7.05160848120586,0.281124817006732,0.175936232258454,1.59787903490938,0.110069900748203,0.13729375774113
"ENSG00000002746.15",42.1778423444949,-0.456338199558106,0.14282444778563,-3.19509864475751,0.001397830545119,0.00212444125354715
"ENSG00000002822.15",24.1106934005682,0.678014812424728,0.122028711319439,5.55619087584943,2.7572535234498e-08,5.73421788481805e-08
"ENSG00000002834.18",20464.7400067605,0.704013129221909,0.08936426771456,7.87801598140557,3.32620185185962e-15,9.87440884306622e-15
"ENSG00000002919.15",1771.47945905056,0.117481051720553,0.0578982908078512,2.02909360676019,0.0424487569674416,0.0559732950704758
"ENSG00000002933.9",2560.08031290756,0.170089074255791,0.125129425395621,1.35930516517615,0.17404990798857,0.211279834831044
"ENSG00000003056.8",4023.96932196178,0.123165010871923,0.0575453081644791,2.14031369021234,0.0323294243434986,0.043166337598918
"ENSG00000003096.14",719.35086093798,-2.71315047711908,0.151854676939353,-17.8667561105322,2.1408716174189e-71,3.969049925475e-70
"ENSG00000003137.8",463.267014521732,-2.13247710437315,0.140048763912387,-15.2266756578245,2.35252981408325e-52,2.65622250032002e-51
"ENSG00000003147.19",2975.00414009032,0.735940717125148,0.0710574328005466,10.3569843170507,3.89034627161371e-25,1.73951763432073e-24
"ENSG00000003249.15",2550.11233922812,1.89491386285972,0.103563404364854,18.2971376277274,8.72121268851802e-75,1.77534425552918e-73
"ENSG00000003393.15",1859.21405301226,-0.132075052263468,0.0442338100865082,-2.98583938406321,0.00282801135983724,0.00419198464439959
"ENSG00000003400.15",705.241701963661,-0.86891677044616,0.0962398448781162,-9.02865929955112,1.73787826939116e-19,6.11956341541382e-19
"ENSG00000003402.20",5247.99527567177,-1.0219427337589,0.0580400592147037,-17.6075411980284,2.15609630625159e-69,3.81607543886161e-68
"ENSG00000003436.16",1474.57826074572,-1.81133719461753,0.125047078382406,-14.4852420228347,1.5019270795486e-47,1.46970528556129e-46
"ENSG00000003509.16",710.929826229866,-0.00871637423563053,0.0392554101826741,-0.222042622789294,0.824280703208545,0.873813263013231
"ENSG00000003756.17",3909.0543985761,-0.43234488603957,0.0532754761637597,-8.11527023635819,4.84704969589585e-16,1.4861646641005e-15
"ENSG00000003987.14",128.958810964198,0.39177843620702,0.122430706086864,3.20000144350269,0.00137426899297212,0.00209025939079095
"ENSG00000003989.18",14571.8384762568,1.25451913330319,0.200269844153524,6.26414395340267,3.74879048472883e-10,8.63424821175983e-10
"ENSG00000004059.11",5610.73628614419,0.750688500290868,0.062294154984079,12.050705246467,1.92297533710458e-33,1.18423736690712e-32
"ENSG00000004139.14",291.768047449459,-0.310678317061442,0.10267014664964,-3.0259849352473,0.00247824649927288,0.00369259106692147
"ENSG00000004142.12",7616.79635675165,0.424512466707882,0.0612942049333016,6.92581732922098,4.33465503017335e-12,1.10572501632097e-11
"ENSG00000004399.13",10060.4653361586,-0.13126697466609,0.0725974820418998,-1.80814776179605,0.0705835063223969,0.0905223499162944
"ENSG00000004455.17",7762.97019038836,0.204294472418651,0.0473893175481365,4.31098152471041,1.62531486487538e-05,2.85000442595024e-05
"ENSG00000004468.13",377.256200925554,0.222753482896913,0.172627632332828,1.29036979704062,0.196922293527876,0.237083997178612
"ENSG00000004478.8",17480.3034499647,1.44352258967719,0.0786611855351685,18.3511420512701,3.23246114667405e-75,6.67062436631826e-74
"ENSG00000004487.17",6328.56184676679,0.42874358316444,0.0482592929967594,8.88416627225001,6.44019080509913e-19,2.22522840525921e-18
"ENSG00000004534.15",4305.12871168178,-0.279828156826537,0.0507185023002895,-5.5172795752082,3.44287497576666e-08,7.1131130571401e-08
"ENSG00000004660.15",755.918966697827,0.0929210634602419,0.0787277521599511,1.18028345673397,0.237887495583427,0.282948863021975
"ENSG00000004700.16",1517.5718048692,-0.090477458358524,0.0774558540364148,-1.16811646432802,0.242759789978368,0.288287403124138
"ENSG00000004766.17",2003.05999142803,-0.00674617250137541,0.0600633238988942,-0.112317668478211,0.91057153302577,0.948366275487041
"ENSG00000004776.13",406.518121508254,-4.58255490000861,0.168061942993324,-27.2670589092894,1.0432159203817e-163,1.37605818903321e-161
"ENSG00000004777.18",762.019638574448,0.897941069441532,0.0949309183759503,9.45888952517514,3.11230797232806e-21,1.17703363494359e-20
"ENSG00000004779.10",3340.23761397486,0.696453259486124,0.0592683415645244,11.7508477730545,6.99138831962762e-32,4.05363477207515e-31
"ENSG00000004799.8",5901.46671104353,-3.69167615822696,0.152666500157303,-24.1813112531116,3.49906464284738e-129,2.50215164680098e-127
"ENSG00000004809.14",16.0770232159009,0.33314196107017,0.215360371130155,1.5469046571657,0.121886237894919,0.151096211340145
"ENSG00000004838.14",688.014151360079,2.54527670988711,0.151291265812818,16.8236857310468,1.63653061306889e-63,2.47469795726807e-62
"ENSG00000004846.16",56.9196692506801,-3.67708214331822,0.197433386656449,-18.6244191298641,2.0369036275969e-77,4.45290398857186e-76
"ENSG00000004848.8",69.8018200934089,1.8770197936347,0.26956419274295,6.96316441191645,3.32713138291989e-12,8.55197614975143e-12
"ENSG00000004864.14",1691.54018404815,0.37722540547653,0.0623766080240258,6.04754598600861,1.47068697111046e-09,3.28085373671791e-09
